id,description,start_location,start_latitude,start_longitude,end_location,end_latitude,end_longitude,time_window_start,time_window_end,capacity,alternative_capacities,skills,fixed_cost,max_tasks
7426|12|Fuel Tanker,7426|12 Taylor,"42.2550407,-83.274622",42.2550407,-83.274622,"42.2550407,-83.274622",42.2550407,-83.274622,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[2400, 0, 0, 0, 0], [1200, 1200, 0, 0, 0], [1200, 0, 1200, 0, 0], [1200, 0, 0, 1200, 0], [1200, 0, 0, 0, 1200], [0, 2400, 0, 0, 0], [0, 1200, 1200, 0, 0], [0, 1200, 0, 1200, 0], [0, 1200, 0, 0, 1200], [0, 0, 2400, 0, 0], [0, 0, 1200, 1200, 0], [0, 0, 1200, 0, 1200], [0, 0, 0, 2400, 0], [0, 0, 0, 1200, 1200], [0, 0, 0, 0, 2400]]",,,
7427|13|Fuel Tanker,7427|13 Taylor,"42.2550407,-83.274622",42.2550407,-83.274622,"42.2550407,-83.274622",42.2550407,-83.274622,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[2400, 0, 0, 0, 0], [1200, 1200, 0, 0, 0], [1200, 0, 1200, 0, 0], [1200, 0, 0, 1200, 0], [1200, 0, 0, 0, 1200], [0, 2400, 0, 0, 0], [0, 1200, 1200, 0, 0], [0, 1200, 0, 1200, 0], [0, 1200, 0, 0, 1200], [0, 0, 2400, 0, 0], [0, 0, 1200, 1200, 0], [0, 0, 1200, 0, 1200], [0, 0, 0, 2400, 0], [0, 0, 0, 1200, 1200], [0, 0, 0, 0, 2400]]",,,
7428|14|Fuel Tanker,7428|14 Taylor,"42.2550407,-83.274622",42.2550407,-83.274622,"42.2550407,-83.274622",42.2550407,-83.274622,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[2400, 0, 0, 0, 0], [1200, 1200, 0, 0, 0], [1200, 0, 1200, 0, 0], [1200, 0, 0, 1200, 0], [1200, 0, 0, 0, 1200], [0, 2400, 0, 0, 0], [0, 1200, 1200, 0, 0], [0, 1200, 0, 1200, 0], [0, 1200, 0, 0, 1200], [0, 0, 2400, 0, 0], [0, 0, 1200, 1200, 0], [0, 0, 1200, 0, 1200], [0, 0, 0, 2400, 0], [0, 0, 0, 1200, 1200], [0, 0, 0, 0, 2400]]",,,
7429|15|Fuel Tanker,7429|15 Taylor,"42.2550407,-83.274622",42.2550407,-83.274622,"42.2550407,-83.274622",42.2550407,-83.274622,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[2400, 0, 0, 0, 0], [1200, 1200, 0, 0, 0], [1200, 0, 1200, 0, 0], [1200, 0, 0, 1200, 0], [1200, 0, 0, 0, 1200], [0, 2400, 0, 0, 0], [0, 1200, 1200, 0, 0], [0, 1200, 0, 1200, 0], [0, 1200, 0, 0, 1200], [0, 0, 2400, 0, 0], [0, 0, 1200, 1200, 0], [0, 0, 1200, 0, 1200], [0, 0, 0, 2400, 0], [0, 0, 0, 1200, 1200], [0, 0, 0, 0, 2400]]",,,
7430|16|Fuel Tanker,7430|16 Taylor,"42.2550407,-83.274622",42.2550407,-83.274622,"42.2550407,-83.274622",42.2550407,-83.274622,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[2500, 0, 0, 0, 0], [1500, 1000, 0, 0, 0], [1500, 0, 1000, 0, 0], [1500, 0, 0, 1000, 0], [1500, 0, 0, 0, 1000], [1000, 1500, 0, 0, 0], [0, 2500, 0, 0, 0], [0, 1500, 1000, 0, 0], [0, 1500, 0, 1000, 0], [0, 1500, 0, 0, 1000], [1000, 0, 1500, 0, 0], [0, 1000, 1500, 0, 0], [0, 0, 2500, 0, 0], [0, 0, 1500, 1000, 0], [0, 0, 1500, 0, 1000], [1000, 0, 0, 1500, 0], [0, 1000, 0, 1500, 0], [0, 0, 1000, 1500, 0], [0, 0, 0, 2500, 0], [0, 0, 0, 1500, 1000], [1000, 0, 0, 0, 1500], [0, 1000, 0, 0, 1500], [0, 0, 1000, 0, 1500], [0, 0, 0, 1000, 1500], [0, 0, 0, 0, 2500]]",,,
7432|17|Fuel Tanker,7432|17 Taylor,"42.2550407,-83.274622",42.2550407,-83.274622,"42.2550407,-83.274622",42.2550407,-83.274622,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[3800, 0, 0, 0, 0], [800, 3000, 0, 0, 0], [800, 0, 3000, 0, 0], [800, 0, 0, 3000, 0], [800, 0, 0, 0, 3000], [3000, 800, 0, 0, 0], [0, 3800, 0, 0, 0], [0, 800, 3000, 0, 0], [0, 800, 0, 3000, 0], [0, 800, 0, 0, 3000], [3000, 0, 800, 0, 0], [0, 3000, 800, 0, 0], [0, 0, 3800, 0, 0], [0, 0, 800, 3000, 0], [0, 0, 800, 0, 3000], [3000, 0, 0, 800, 0], [0, 3000, 0, 800, 0], [0, 0, 3000, 800, 0], [0, 0, 0, 3800, 0], [0, 0, 0, 800, 3000], [3000, 0, 0, 0, 800], [0, 3000, 0, 0, 800], [0, 0, 3000, 0, 800], [0, 0, 0, 3000, 800], [0, 0, 0, 0, 3800]]",,,
7452|18|DEF Tanker,7452|18 Taylor,"42.2550407,-83.274622",42.2550407,-83.274622,"42.2550407,-83.274622",42.2550407,-83.274622,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[440000, 0, 0, 0, 0], [0, 4400, 0, 0, 0], [0, 0, 4400, 0, 0], [0, 0, 0, 4400, 0], [0, 0, 0, 0, 4400], [4400, 0, 0, 0, 0], [0, 4400, 0, 0, 0], [0, 0, 4400, 0, 0], [0, 0, 0, 4400, 0], [0, 0, 0, 0, 4400], [44000, 0, 0, 0, 0], [0, 4400, 0, 0, 0], [0, 0, 4400, 0, 0], [0, 0, 0, 4400, 0], [0, 0, 0, 0, 4400], [4400, 0, 0, 0, 0], [0, 44000, 0, 0, 0], [0, 0, 4400, 0, 0], [0, 0, 0, 4400, 0], [0, 0, 0, 0, 4400], [4400, 0, 0, 0, 0], [0, 4400, 0, 0, 0], [0, 0, 44000, 0, 0], [0, 0, 0, 4400, 0], [0, 0, 0, 0, 4400], [4400, 0, 0, 0, 0], [0, 4400, 0, 0, 0], [0, 0, 4400, 0, 0], [0, 0, 0, 44000, 0], [0, 0, 0, 0, 4400], [4400, 0, 0, 0, 0], [0, 4400, 0, 0, 0], [0, 0, 4400, 0, 0], [0, 0, 0, 4400, 0], [0, 0, 0, 0, 44000], [4400, 0, 0, 0, 0], [0, 440000, 0, 0, 0], [0, 0, 4400, 0, 0], [0, 0, 0, 4400, 0], [0, 0, 0, 0, 4400], [4400, 0, 0, 0, 0], [0, 4400, 0, 0, 0], [0, 0, 440000, 0, 0], [0, 0, 0, 4400, 0], [0, 0, 0, 0, 4400], [4400, 0, 0, 0, 0], [0, 4400, 0, 0, 0], [0, 0, 4400, 0, 0], [0, 0, 0, 440000, 0], [0, 0, 0, 0, 4400], [4400, 0, 0, 0, 0], [0, 4400, 0, 0, 0], [0, 0, 4400, 0, 0], [0, 0, 0, 4400, 0], [0, 0, 0, 0, 440000]]",,,
7454|19|Fuel Tanker,7454|19 Taylor,"42.2550407,-83.274622",42.2550407,-83.274622,"42.2550407,-83.274622",42.2550407,-83.274622,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[2000, 0, 0, 0, 0], [1000, 1000, 0, 0, 0], [1000, 0, 1000, 0, 0], [1000, 0, 0, 1000, 0], [1000, 0, 0, 0, 1000], [0, 2000, 0, 0, 0], [0, 1000, 1000, 0, 0], [0, 1000, 0, 1000, 0], [0, 1000, 0, 0, 1000], [0, 0, 2000, 0, 0], [0, 0, 1000, 1000, 0], [0, 0, 1000, 0, 1000], [0, 0, 0, 2000, 0], [0, 0, 0, 1000, 1000], [0, 0, 0, 0, 2000]]",,,
7455|20|Fuel Tanker,7455|20 Taylor,"42.2550407,-83.274622",42.2550407,-83.274622,"42.2550407,-83.274622",42.2550407,-83.274622,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[1700, 0, 0, 0, 0], [1000, 700, 0, 0, 0], [1000, 0, 700, 0, 0], [1000, 0, 0, 700, 0], [1000, 0, 0, 0, 700], [700, 1000, 0, 0, 0], [0, 1700, 0, 0, 0], [0, 1000, 700, 0, 0], [0, 1000, 0, 700, 0], [0, 1000, 0, 0, 700], [700, 0, 1000, 0, 0], [0, 700, 1000, 0, 0], [0, 0, 1700, 0, 0], [0, 0, 1000, 700, 0], [0, 0, 1000, 0, 700], [700, 0, 0, 1000, 0], [0, 700, 0, 1000, 0], [0, 0, 700, 1000, 0], [0, 0, 0, 1700, 0], [0, 0, 0, 1000, 700], [700, 0, 0, 0, 1000], [0, 700, 0, 0, 1000], [0, 0, 700, 0, 1000], [0, 0, 0, 700, 1000], [0, 0, 0, 0, 1700]]",,,
7456|21|Fuel Tanker,7456|21 Taylor,"42.2550407,-83.274622",42.2550407,-83.274622,"42.2550407,-83.274622",42.2550407,-83.274622,2025-07-16 08:00:00 EDT,2025-07-16 18:00:00 EDT,"[1, 1, 1, 1, 1]","[[1700, 0, 0, 0, 0], [1000, 700, 0, 0, 0], [1000, 0, 700, 0, 0], [1000, 0, 0, 700, 0], [1000, 0, 0, 0, 700], [700, 1000, 0, 0, 0], [0, 1700, 0, 0, 0], [0, 1000, 700, 0, 0], [0, 1000, 0, 700, 0], [0, 1000, 0, 0, 700], [700, 0, 1000, 0, 0], [0, 700, 1000, 0, 0], [0, 0, 1700, 0, 0], [0, 0, 1000, 700, 0], [0, 0, 1000, 0, 700], [700, 0, 0, 1000, 0], [0, 700, 0, 1000, 0], [0, 0, 700, 1000, 0], [0, 0, 0, 1700, 0], [0, 0, 0, 1000, 700], [700, 0, 0, 0, 1000], [0, 700, 0, 0, 1000], [0, 0, 700, 0, 1000], [0, 0, 0, 700, 1000], [0, 0, 0, 0, 1700]]",,,
